2018-09-20 14:09:01.176 INFO  [Thread-66][ENGINE:866] Checkpoint start
2018-09-20 14:09:01.188 INFO  [Thread-66][ENGINE:866] checkpointClose start
2018-09-20 14:09:01.188 INFO  [Thread-66][ENGINE:866] checkpointClose synched
2018-09-20 14:09:01.194 INFO  [Thread-66][ENGINE:866] checkpointClose script done
2018-09-20 14:09:01.203 INFO  [Thread-66][ENGINE:866] checkpointClose end
2018-09-20 14:09:01.206 INFO  [Thread-66][ENGINE:866] Checkpoint end - txts: 1
2018-09-20 14:09:01.677 INFO  [Thread-66][ENGINE:866] Database closed
2018-09-20 14:09:01.707 INFO  [Thread-66][ENGINE:866] open start - state not modified
2018-09-20 14:09:01.881 INFO  [Thread-66][ENGINE:866] Database closed
2018-09-20 18:15:48.287 INFO  [main][DialectDetector:158] Using dialect org.hibernate.dialect.MySQLDialect for MySQL 5.7
2018-09-20 18:15:50.323 INFO  [main][ModuleFrameworkImpl:1292] Starting initial bundles
2018-09-20 18:16:00.721 INFO  [main][ModuleFrameworkImpl:1555] Started initial bundles
2018-09-20 18:16:00.722 INFO  [main][ModuleFrameworkImpl:1590] Starting dynamic bundles
2018-09-20 18:16:13.559 INFO  [main][ModuleFrameworkImpl:1679] Started dynamic bundles
2018-09-20 18:16:13.561 INFO  [main][ModuleFrameworkImpl:414] Navigate to Control Panel > Configuration > Gogo Shell and enter "lb" to see all bundles
2018-09-20 18:16:17.628 WARN  [Elasticsearch initialization thread][EmbeddedElasticsearchConnection:286] Liferay is configured to use embedded Elasticsearch as its search engine. Do NOT use embedded Elasticsearch in production. Embedded Elasticsearch is useful for development and demonstration purposes. Remote Elasticsearch connections can be configured in the Control Panel.
2018-09-20 18:16:23.951 INFO  [main][StartupHelper:72] There are no patches installed
2018-09-20 18:16:24.040 WARN  [main][ReleaseLocalServiceImpl:239] Table 'lportal.release_' doesn't exist
2018-09-20 18:16:24.042 INFO  [main][ReleaseLocalServiceImpl:130] Create tables and populate with default data
2018-09-20 18:16:33.618 INFO  [main][UpgradeProcess:93] Upgrading com.liferay.knowledge.base.internal.activator.KnowledgeBaseServiceBundleActivator$1$1
2018-09-20 18:16:33.647 INFO  [main][UpgradeProcess:107] Completed upgrade process com.liferay.knowledge.base.internal.activator.KnowledgeBaseServiceBundleActivator$1$1 in 28 ms
2018-09-20 18:16:34.049 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.verify.VerifyProcessSuite
2018-09-20 18:16:34.051 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.verify.VerifyProperties
2018-09-20 18:16:34.053 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyProperties#verifySystemProperties
