2018-10-08 12:44:38.130 INFO  [main][DialectDetector:158] Using dialect org.hibernate.dialect.MySQLDialect for MySQL 5.7
2018-10-08 12:44:40.362 INFO  [main][ModuleFrameworkImpl:1292] Starting initial bundles
2018-10-08 12:44:41.809 INFO  [main][ModuleFrameworkImpl:1555] Started initial bundles
2018-10-08 12:44:41.810 INFO  [main][ModuleFrameworkImpl:1590] Starting dynamic bundles
2018-10-08 12:44:50.211 INFO  [main][ModuleFrameworkImpl:1679] Started dynamic bundles
2018-10-08 12:44:50.214 INFO  [main][ModuleFrameworkImpl:414] Navigate to Control Panel > Configuration > Gogo Shell and enter "lb" to see all bundles
2018-10-08 12:44:56.281 WARN  [Elasticsearch initialization thread][EmbeddedElasticsearchConnection:286] Liferay is configured to use embedded Elasticsearch as its search engine. Do NOT use embedded Elasticsearch in production. Embedded Elasticsearch is useful for development and demonstration purposes. Remote Elasticsearch connections can be configured in the Control Panel.
2018-10-08 12:45:03.041 INFO  [main][StartupHelper:72] There are no patches installed
2018-10-08 12:45:04.391 INFO  [main][AutoDeployDir:193] Auto deploy scanner started for /Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/deploy
2018-10-08 12:45:43.307 INFO  [main][ThemeHotDeployListener:108] 1 theme for classic-theme is available for use
2018-10-08 12:45:43.797 INFO  [main][ThemeHotDeployListener:108] 1 theme for admin-theme is available for use
2018-10-08 12:45:44.272 INFO  [main][ThemeHotDeployListener:108] 1 theme for fjord-theme is available for use
2018-10-08 12:45:51.400 INFO  [main][HookHotDeployListener:521] Hook for opensocial-portlet is available for use
2018-10-08 12:45:51.869 INFO  [main][PortletHotDeployListener:329] 4 portlets for opensocial-portlet are available for use
2018-10-08 12:45:53.256 INFO  [main][ThemeHotDeployListener:108] 1 theme for porygon-theme is available for use
2018-10-08 12:45:54.013 INFO  [main][HookHotDeployListener:521] Hook for powwow-portlet is available for use
2018-10-08 12:45:54.187 INFO  [main][PortletHotDeployListener:329] 2 portlets for powwow-portlet are available for use
2018-10-08 12:45:54.484 INFO  [main][HookHotDeployListener:521] Hook for social-bookmarks-hook is available for use
2018-10-08 12:45:54.946 INFO  [main][HookHotDeployListener:521] Hook for tasks-portlet is available for use
2018-10-08 12:45:55.063 INFO  [main][PortletHotDeployListener:329] 2 portlets for tasks-portlet are available for use
2018-10-08 12:45:55.589 INFO  [main][ThemeHotDeployListener:108] 1 theme for westeros-bank-theme is available for use
2018-10-08 12:45:55.624 INFO  [main][SystemCheckOSGiCommands:54] System check is enabled. You can run a system check with the command "system:check" in Gogo shell.
